iter	RMSE
0	262.3823472
1	243.7693135
2	228.3880428
3	212.5190427
4	198.2535799
5	186.3706009
6	174.6685323
7	162.1997907
8	153.2053514
9	146.2331821
10	137.68708
11	130.5764382
12	124.4231771
13	117.8100524
14	111.4651641
15	106.309941
16	101.2327688
17	96.49627951
18	92.81264992
19	89.51882519
20	86.31502389
21	82.26941031
22	79.35005492
23	77.25167136
24	74.25467567
25	72.43306582
26	70.61112476
27	68.57858365
28	66.63547269
29	65.36348469
30	63.92078186
31	63.0234769
32	62.0520066
33	60.4693167
34	59.07339599
35	57.70652439
36	56.2546406
37	54.89223152
38	54.05543503
39	53.29240699
40	52.28631356
41	51.71680272
42	51.08929578
43	50.40928479
44	49.92425912
45	49.49081351
46	48.52288073
47	48.00726652
48	47.17808326
49	46.12280184
50	45.79302446
51	45.18469584
52	44.86690002
53	44.14297924
54	43.41592546
55	42.77164394
56	42.38382955
57	41.83213525
58	41.32828025
59	40.62839426
60	40.30937505
61	40.01043217
62	39.91630078
63	39.56590648
64	39.34102084
65	39.11307708
66	38.85794995
67	38.49090127
68	37.99186773
69	37.69111656
70	37.38119663
71	36.88754815
72	36.71291417
73	36.21954503
74	35.84285116
75	35.44524833
76	35.09955918
77	34.82007461
78	34.56974368
79	34.43210871
80	34.0068261
81	33.26566449
82	33.12252876
83	32.77041504
84	32.31240622
85	31.82274497
86	31.69253218
87	31.51305223
88	31.40285677
89	31.29130113
90	31.12428927
91	30.81023429
92	30.53776016
93	30.15235737
94	29.81159722
95	29.57813236
96	29.40208331
97	29.0670416
98	28.83638729
99	28.61532261
100	28.52571551
101	28.21082972
102	28.06879423
103	27.85798878
104	27.67473186
105	27.44479061
106	27.31269411
107	27.19808884
108	26.97349119
109	26.81589525
110	26.60033139
111	26.56518007
112	26.39903347
113	26.24177951
114	25.92729975
115	25.83753941
116	25.66161998
117	25.53136894
118	25.2958561
119	25.18881652
120	25.01518393
121	24.96941552
122	24.84711774
123	24.57020941
124	24.38791997
125	24.22142559
126	24.11744718
127	24.09509734
128	23.94987843
129	23.81301355
130	23.74553437
131	23.64909286
132	23.45850923
133	23.44314062
134	23.3451024
135	23.20771105
136	23.11057637
137	23.01898969
138	22.7850166
139	22.69325397
140	22.55577706
141	22.40976663
142	22.39424675
143	22.27419618
144	22.17116577
145	22.02750504
146	21.8725581
147	21.75469447
148	21.65671353
149	21.54015654
150	21.45478644
151	21.31097441
152	21.23042651
153	21.10157718
154	20.99670469
155	20.90629478
156	20.75646086
157	20.67367425
158	20.59484104
159	20.58034167
160	20.47648573
161	20.38070433
162	20.29863102
163	20.22927331
164	20.11751146
165	19.98810935
166	19.90648771
167	19.8038898
168	19.70000403
169	19.6213829
170	19.57040597
171	19.48275256
172	19.37077342
173	19.28016775
174	19.26275233
175	19.24852372
176	19.16143541
177	19.09227819
178	19.08058913
179	18.97288599
180	18.87450289
181	18.77356283
182	18.70360447
183	18.62144323
184	18.61022716
185	18.59814558
186	18.48865609
187	18.40933034
188	18.27789158
189	18.192724
190	18.10272105
191	18.09162933
192	18.00396968
193	17.90902137
194	17.81970656
195	17.81080479
196	17.80106092
197	17.70907084
198	17.70106119
199	17.62552499
200	17.56521241
201	17.4709981
202	17.37922929
203	17.3155098
204	17.22833497
205	17.15746717
206	17.08742294
207	17.01616464
208	17.00815158
209	16.99996868
210	16.91700633
211	16.84130677
212	16.75689721
213	16.70516085
214	16.60417604
215	16.52177629
216	16.41913827
217	16.34994436
218	16.2721835
219	16.23459579
220	16.18614235
221	16.17985898
222	16.10736429
223	16.04321132
224	15.97787894
225	15.91025203
226	15.81546864
227	15.77747092
228	15.77127803
229	15.76526702
230	15.67865239
231	15.6059248
232	15.55096948
233	15.46509315
234	15.39218624
235	15.32492042
236	15.28225539
237	15.20098721
238	15.12553611
239	15.11909512
240	15.05419759
241	15.00555881
242	14.94488987
243	14.93947602
244	14.86604802
245	14.79671946
246	14.704486
247	14.65372183
248	14.60822213
249	14.60326092
250	14.54495443
251	14.53950401
252	14.49182618
253	14.44386026
254	14.38100126
255	14.33932043
256	14.27161612
257	14.23498709
258	14.20810506
259	14.14937206
260	14.10274509
261	14.09801599
262	14.03598285
263	13.99273209
264	13.94797112
265	13.92328834
266	13.86792961
267	13.81676753
268	13.77217456
269	13.76793944
270	13.70732027
271	13.64854981
272	13.64513289
273	13.58955068
274	13.5401849
275	13.49475091
276	13.43382381
277	13.39252013
278	13.34280582
279	13.28476601
280	13.24452712
281	13.1875895
282	13.12781243
283	13.08005852
284	13.03502285
285	12.99135833
286	12.94830071
287	12.91893176
288	12.87572088
289	12.82647031
290	12.78602814
291	12.73705543
292	12.68877539
293	12.63702723
294	12.56680771
295	12.53403948
296	12.49281046
297	12.45327307
298	12.44954256
299	12.39387267
300	12.35080359
301	12.31718299
302	12.26865098
303	12.21817512
304	12.17262805
305	12.12998706
306	12.10207956
307	12.04724804
308	12.01648115
309	12.01275508
310	11.97550266
311	11.93252383
312	11.89233463
313	11.83416458
314	11.7817971
315	11.77891656
316	11.74580366
317	11.68965456
318	11.64589654
319	11.64220047
320	11.61119102
321	11.57611461
322	11.549399
323	11.50891826
324	11.47305683
325	11.44372072
326	11.44043571
327	11.39165246
328	11.35322472
329	11.31039164
330	11.26453693
331	11.23298719
332	11.20511083
333	11.14729713
334	11.12011204
335	11.09427274
336	11.0651095
337	11.02879309
338	11.00456543
339	10.95745099
340	10.91331041
341	10.85819314
342	10.81622931
343	10.77817711
344	10.75292573
345	10.70316749
346	10.66884144
347	10.64136559
348	10.6154182
349	10.58928086
350	10.56021559
351	10.53035805
352	10.4973877
353	10.47304084
354	10.43103779
355	10.39040264
356	10.33648214
357	10.30803502
358	10.27863132
359	10.24168799
360	10.20658047
361	10.1763951
362	10.17124209
363	10.13335862
364	10.10401438
365	10.10184156
366	10.06296298
367	10.02610137
368	9.998372829
369	9.996208263
370	9.965339678
371	9.928435218
372	9.910161882
373	9.881729239
374	9.879434884
375	9.849012288
376	9.818361345
377	9.814123669
378	9.809870537
379	9.788065677
380	9.775291324
381	9.747206349
382	9.719168061
383	9.697392238
384	9.678404474
385	9.638540429
