iter	Passed	Remaining
0	140	56091
1	142	28408
2	144	19172
3	147	14555
4	149	11775
5	151	9918
6	153	8597
7	155	7607
8	157	6828
9	159	6217
10	161	5710
11	163	5283
12	165	4923
13	167	4618
14	169	4348
15	171	4113
16	173	3904
17	175	3717
18	177	3553
19	179	3405
20	181	3273
21	183	3149
22	185	3036
23	187	2931
24	189	2835
25	190	2744
26	192	2662
27	194	2586
28	196	2515
29	198	2447
30	200	2386
31	202	2329
32	204	2275
33	206	2222
34	208	2171
35	210	2125
36	212	2082
37	214	2040
38	216	2000
39	217	1961
40	219	1924
41	221	1890
42	223	1858
43	225	1825
44	227	1794
45	229	1765
46	231	1736
47	233	1708
48	234	1682
49	236	1658
50	238	1633
51	240	1610
52	242	1588
53	244	1567
54	246	1547
55	248	1528
56	250	1509
57	253	1492
58	254	1473
59	256	1455
60	258	1438
61	260	1420
62	262	1404
63	264	1387
64	266	1371
65	268	1356
66	269	1341
67	271	1327
68	273	1313
69	275	1299
70	277	1286
71	279	1272
72	281	1259
73	282	1246
74	284	1234
75	286	1223
76	288	1210
77	290	1199
78	292	1188
79	294	1176
80	296	1166
81	298	1155
82	299	1145
83	301	1134
84	303	1125
85	305	1115
86	307	1105
87	309	1096
88	311	1086
89	312	1077
90	314	1068
91	316	1060
92	318	1051
93	320	1042
94	322	1034
95	323	1025
96	325	1017
97	327	1009
98	329	1002
99	331	994
100	333	986
101	335	979
102	337	972
103	339	965
104	341	959
105	343	952
106	345	945
107	347	938
108	348	931
109	350	925
110	352	918
111	355	913
112	356	906
113	358	900
114	360	893
115	362	887
116	364	881
117	366	875
118	368	869
119	370	863
120	371	857
121	373	851
122	375	845
123	377	839
124	378	833
125	380	827
126	382	822
127	384	816
128	386	811
129	387	805
130	389	800
131	391	795
132	393	789
133	395	784
134	397	779
135	398	774
136	400	769
137	402	764
138	404	759
139	406	754
140	408	750
141	410	745
142	413	742
143	415	738
144	417	733
145	418	728
146	420	723
147	422	719
148	424	715
149	426	711
150	428	707
151	430	702
152	432	698
153	434	693
154	436	689
155	438	685
156	439	680
157	441	676
158	443	671
159	444	667
160	446	662
161	448	658
162	449	654
163	451	650
164	453	646
165	455	642
166	457	638
167	459	634
168	460	630
169	462	626
170	464	622
171	466	618
172	468	614
173	470	610
174	471	606
175	473	602
176	475	598
177	476	594
178	478	591
179	480	587
180	482	583
181	484	579
182	485	576
183	487	572
184	489	568
185	490	564
186	492	561
187	494	557
188	496	553
189	497	550
190	499	546
191	501	543
192	503	539
193	504	536
194	506	532
195	508	529
196	510	525
197	511	522
198	513	518
199	515	515
200	516	511
201	518	508
202	520	504
203	522	501
204	524	498
205	525	495
206	527	491
207	529	488
208	530	485
209	532	481
210	534	478
211	535	475
212	537	472
213	539	468
214	541	465
215	542	462
216	544	459
217	546	456
218	548	453
219	549	449
220	551	446
221	553	443
222	555	440
223	557	438
224	559	435
225	561	432
226	563	429
227	565	426
228	567	423
229	569	420
230	571	418
231	573	415
232	575	412
233	578	410
234	580	407
235	582	404
236	584	401
237	585	398
238	587	396
239	589	393
240	591	390
241	593	387
242	595	384
243	597	381
244	599	379
245	601	376
246	603	373
247	605	370
248	607	368
249	608	365
250	610	362
251	612	359
252	614	357
253	616	354
254	618	351
255	619	348
256	621	345
257	623	343
258	625	340
259	627	337
260	628	334
261	630	332
262	632	329
263	634	326
264	636	324
265	637	321
266	639	318
267	641	315
268	643	313
269	645	310
270	646	307
271	648	305
272	666	309
273	668	307
274	670	304
275	671	301
276	673	299
277	675	296
278	677	294
279	679	291
280	682	288
281	683	286
282	685	283
283	687	280
284	689	278
285	690	275
286	692	272
287	694	270
288	696	267
289	698	264
290	699	262
291	701	259
292	703	256
293	705	254
294	706	251
295	708	249
296	710	246
297	712	243
298	714	241
299	715	238
300	717	235
301	719	233
302	720	230
303	722	228
304	724	225
305	726	223
306	728	220
307	730	218
308	731	215
309	733	212
310	735	210
311	737	208
312	739	205
313	741	203
314	743	200
315	745	198
316	747	195
317	748	193
318	750	190
319	752	188
320	754	185
321	756	183
322	758	180
323	760	178
324	762	175
325	763	173
326	765	170
327	767	168
328	769	166
329	771	163
330	772	161
331	774	158
332	776	156
333	778	153
334	780	151
335	782	148
336	783	146
337	785	144
338	787	141
339	789	139
340	790	136
341	792	134
342	794	132
343	796	129
344	798	127
345	800	124
346	801	122
347	803	120
348	805	117
349	807	115
350	809	112
351	811	110
352	813	108
353	814	105
354	816	103
355	818	101
356	820	98
357	822	96
358	824	94
359	826	91
360	828	89
361	830	87
362	831	84
363	833	82
364	835	80
365	837	77
366	839	75
367	840	73
368	842	70
369	844	68
370	846	66
371	848	63
372	849	61
373	851	59
374	853	56
375	855	54
376	857	52
377	859	50
378	861	47
379	863	45
380	865	43
381	867	40
382	870	38
383	872	36
384	874	34
385	876	31
386	879	29
387	881	27
388	883	24
389	884	22
390	886	20
391	888	18
392	890	15
393	892	13
394	894	11
395	896	9
396	898	6
397	900	4
398	902	2
399	903	0
